Nom, Kingdom, Division
Trametes, Fungi, Basidiomycota
Nymphicus, Animalia, Chordata
Chelicerata, Animalia, Arthropoda
Ardenna, Animalia, Chordata
Celosia, Plantae, Angiosperms
Capromys, Animalia, Chordata
Tonicella, Animalia, Mollusca
Anniella, Animalia, Chordata
Onoclea, Plantae, Pteridophyta
Chrysochromulina, Protista, Haptophyta
Litocranius, Animalia, Chordata
Sturnus, Animalia, Chordata
Pachysphinx, Animalia, Arthropoda
Paleosuchus, Animalia, Chordata
Echinosorex, Animalia, Chordata
Anyperodon, Animalia, Chordata
Liparis, Animalia, Chordata
Austrofundulus, Animalia, Chordata
Salix, Plantae, Angiosperms
Schultesia, Plantae, Angiosperms
Tetrodontophora, Animalia, Arthropoda
Ranina, Animalia, Arthropoda
Caenolestes, Animalia, Chordata
Plautia, Animalia, Arthropoda
Chionoecetes, Animalia, Arthropoda
Liasis, Animalia, Chordata
Paracirrhites, Animalia, Chordata
Phyllomys, Animalia, Chordata
Opaepele, Animalia, Chordata
Pthirus, Animalia, Arthropoda
Hypsizygus, Fungi, Basidiomycota
Scoparia, Animalia, Arthropoda
Papilio, Animalia, Arthropoda
Bufoceratias, Animalia, Chordata
Veronica, Plantae, Angiosperms
Cyperus, Plantae, Angiosperms
Chysis, Plantae, Angiosperms
Aphelenchus, Animalia, Nematoda
Thujopsis, Plantae, Pinophyta
Pecten, Animalia, Mollusca
Mammillaria, Plantae, Angiosperms
Verbena, Plantae, Angiosperms
Peliperdix, Animalia, Chordata
Calephelis, Animalia, Arthropoda
Blackburnia, Animalia, Arthropoda
Apantesis, Animalia, Arthropoda
Clypeaster, Animalia, Echinodermata
Saccharomycopsis, Fungi, Ascomycota
Apriona, Animalia, Arthropoda
Fraxinus, Plantae, Angiosperms
Carica, Plantae, Angiosperms
Syrphus, Animalia, Arthropoda
Mirabilis, Plantae, Angiosperms
Astrospartus, Animalia, Echinodermata
Bathynomus, Animalia, Arthropoda
Armigeres, Animalia, Arthropoda
Trachipleistophora, Protista, Microsporidia
Zele, Animalia, Arthropoda
Neomaskellia, Animalia, Arthropoda
Sooglossus, Animalia, Chordata
Palmeria, Plantae, Magnoliophyta
Oxytate, Animalia, Arthropoda
Hoplomys, Animalia, Chordata
Pao, Animalia, Chordata
Historis, Animalia, Arthropoda
Karlodinium, Protista, Dinophyta
Milleria, Animalia, Arthropoda
Taenianotus, Animalia, Arthropoda
Diaphania, Animalia, Arthropoda
Oreortyx, Animalia, Chordata
Infundibulicybe, Fungi, Basidiomycota
Walterinnesia, Animalia, Chordata
Apomastus, Animalia, Chordata
Parabuteo, Animalia, Chordata
Crenicichla, Animalia, Chordata
Regimbartia, Animalia, Arthropoda
Myosotis, Plantae, Angiosperms
Calloplesiops, Animalia, Chordata
Asthenes, Animalia, Chordata
Acrossidius, Animalia, Arthropoda
Arytainilla, Animalia, Arthropoda
Arremonops, Animalia, Chordata
Phuopsis, Plantae, Angiosperms
Euphausia, Animalia, Arthropoda
Parasa, Animalia, Arthropoda
Puccinellia, Plantae, Angiosperms
Cyberlindnera, Fungi, Ascomycota
Hypopterygium, Plantae, Bryophyta
Mollisia, Fungi, Ascomycota
Saccharina, Protista, Ochrophyta
Tilletiaria, Fungi, Basidiomycota
Tscherskia, Animalia, Chordata
Mengenilla, Animalia, Arthropoda
Asota, Animalia, Arthropoda
Bullimus, Animalia, Chordata
Blabericola, Animalia, Arthropoda
Niumbaha, Animalia, Arthropoda
Hapsidospora, Fungi, Ascomycota
Chaenocephalus, Animalia, Chordata
Cubanola, Other, Other
Chlorophthalmus, Animalia, Chordata
Selenastrum, Protista, Chlorophyta
Ulmus, Plantae, Angiosperms
Zancudomyces, Fungi, Basidiomycota
Genicanthus, Animalia, Chordata
Pollimyrus, Animalia, Chordata
Thalassoica,
Malayopython, Animalia, Chordata
Heniochus, Animalia, Chordata
Onychoprion, Animalia, Chordata
Reticulomyxa, Protista, Foraminifera
Rhinoplax, Animalia, Chordata
Ronquilus, Animalia, Chordata
Anatolichthys, Animalia, Chordata
Pilosella, Plantae, Angiosperms
Rossioglossum, Plantae, Angiosperms
Phyllacanthus, Animalia, Chordata
Pringlea, Plantae, Angiosperms
Antennarius, Animalia, Chordata
Calcarisporium, Fungi, Ascomycota
Euxoa, Animalia, Arthropoda
Heterodon, Animalia, Chordata
Boesenbergia, Plantae, Angiosperms
Magicicada, Animalia, Arthropoda
Erophylla, Animalia, Chordata
Gossypium, Plantae, Angiosperms
Phyllops, Animalia, Chordata
Cyclanthera, Plantae, Angiosperms
Rhodococcus, Bacteria, Actinobacteria
Autochton, Other, Other
Blaptica, Animalia, Arthropoda
Jacobaea, Plantae, Angiosperms
Tripneustes, Animalia, Echinodermata
Thymophylla, Plantae, Angiosperms
Eucosma, Animalia, Arthropoda
Ambrosiozyma, Fungi, Ascomycota
Poncirus, Plantae, Angiosperms
Pseudopentaceros, Animalia, Chordata
Strongylodon, Plantae, Angiosperms
Ericales, Plantae, Angiosperms
Callimico, Animalia, Chordata
Pygoscelis, Animalia, Chordata
Dendrohyrax, Animalia, Chordata
Carum, Plantae, Angiosperms
Acrida, Animalia, Arthropoda
Paraspadella, Other, Other
Coprinopsis, Fungi, Basidiomycota
Lobophytum, Animalia, Cnidaria
Aipysurus, Animalia, Chordata
Atractylodes, Plantae, Angiosperms
Platichthys, Animalia, Chordata
Oryza, Plantae, Angiosperms
Mexacanthina, Other, Other
Duttaphrynus, Animalia, Chordata
Phycodrys, Other, Other
Sarocalamus, Plantae, Angiosperms
Pimelodella, Animalia, Chordata
Aegialia, Animalia, Arthropoda
Tipuana, Plantae, Angiosperms
Chiroptera, Animalia, Chordata
Sylvirana, Animalia, Chordata
Attalea, Plantae, Angiosperms
Girardia, Animalia, Platyhelminthes
Monotoca, Plantae, Angiosperms
Inyoka, Animalia, Chordata
Quillaja, Plantae, Angiosperms
Uropsilus, Animalia, Chordata
Oecetis, Animalia, Arthropoda
Squilla, Animalia, Arthropoda
Entodinium, Protista, Ciliophora
Hepialus, Animalia, Arthropoda
Agropyron, Plantae, Angiosperms
Henricia, Animalia, Echinodermata
Nectogale, Animalia, Chordata
Claytonia, Plantae, Angiosperms
Gelidiophycus, Protista, Rhodophyta
Lonchothrix, Animalia, Chordata
Araschnia, Animalia, Arthropoda
Phenakospermum, Plantae, Angiosperms
Artedius, Animalia, Chordata
Oroxylum, Plantae, Angiosperms
Sphaeralcea, Plantae, Angiosperms
Premnas, Animalia, Chordata
Condylactis, Animalia, Cnidaria
Acar, Animalia, Arthropoda
Bulla, Animalia, Mollusca
Aspidapion, Animalia, Arthropoda
Reishia, Other, Other
Caribicus, Other, Other
Melecta, Animalia, Arthropoda
Chilobrachys, Animalia, Arthropoda
Glycyphagus, Animalia, Arthropoda
Gigantidas, Other, Other
Paonias, Animalia, Arthropoda
Zosterops, Animalia, Chordata
Eucheuma, Other, Other
Acinonyx, Animalia, Chordata
Adenostyles, Plantae, Angiosperms
Olisthops, Other, Other
Chaoborus, Animalia, Arthropoda
Ocyphaps, Animalia, Chordata
Azadirachta, Plantae, Angiosperms
Polypedates, Animalia, Chordata
Icterus, Animalia, Chordata
Carpoglyphus, Animalia, Arthropoda
Polyneura, Other, Other
Cratena, Animalia, Mollusca
Bivalvia, Animalia, Mollusca
Boeckella, Other, Other
Prionodura, Other, Other
Drepanis, Animalia, Chordata
Paramantis, Other, Other
Hylocharis, Animalia, Chordata
Rivina, Other, Other
Picea, Plantae, Gymnosperms
Chaetopleura, Animalia, Mollusca
Kerivoula, Animalia, Chordata
Eliomys, Animalia, Chordata
Merlangius, Animalia, Chordata
Cnidium, Other, Other
Tribulus, Plantae, Angiosperms
Archips, Animalia, Arthropoda
Scylla, Animalia, Arthropoda
Tamiops, Animalia, Chordata
Entacmaea, Animalia, Cnidaria
Hynobius, Animalia, Chordata
Avena, Plantae, Angiosperms
Grania, Other, Other
Ceriporiopsis, Other, Other
Herdmania, Animalia, Chordata
Mamestra, Animalia, Arthropoda
Cryptotympana, Animalia, Arthropoda
Crithopsis, Other, Other
Ecliptopera, Other, Other
Glossanodon, Other, Other
Otaria, Animalia, Chordata
Fucus, Other, Other
Dendrocygna, Animalia, Chordata
Artamus, Animalia, Chordata
Shaogomphus, Other, Other
Siphonosoma, Animalia, Chordata
Plumiperla, Animalia, Arthropoda
Wyeomyia, Animalia, Arthropoda
Myripristis, Animalia, Chordata
Primates, Animalia, Chordata
Argusianus, Animalia, Chordata
Selaroides, Animalia, Chordata
Spisula, Animalia, Mollusca
Emballonura, Animalia, Chordata
Pavonia, Plantae, Angiosperms
Tragus, Other, Other
Ammospermophilus, Animalia, Chordata
Tupaia, Animalia, Chordata
Schizorhiza, Other, Other
Seepiophila, Other, Other
Stomopneutes, Other, Other
Vermamoeba, Other, Other
Crataegus, Plantae, Angiosperms
Mordacia, Animalia, Chordata
Cyclodomorphus, Animalia, Chordata
Barbourisia, Other, Other
Monascus, Other, Other
Clupea, Animalia, Chordata
Clymenella, Animalia, Annelida
Anoplolepis, Animalia, Arthropoda
Phasianidae, Animalia, Chordata
Suregada, Plantae, Angiosperms
Coryphaena, Animalia, Chordata
Cycas, Plantae, Gymnosperms
Isthmomys, Animalia, Chordata
Androsace, Plantae, Angiosperms
Oecophylla, Animalia, Arthropoda
Gymnorhina, Animalia, Chordata
Geranium, Plantae, Angiosperms
Bromus, Plantae, Angiosperms
Chondrilla, Plantae, Angiosperms
Kraussillichirus, Animalia, Chordata
Sonorella, Animalia, Mollusca
Agylla, Other, Other
Ophthalmotilapia, Animalia, Chordata
Tenguella, Animalia, Chordata
Ablennes, Animalia, Chordata
Pentachondra, Other, Other
Boreogadus, Animalia, Chordata
Junco, Plantae, Angiosperms
Vindula, Animalia, Chordata
Lepechinia, Plantae, Angiosperms
Kassina, Animalia, Chordata
Diphasium, Plantae, Angiosperms
Turnix, Animalia, Chordata
Lasiopodomys, Animalia, Chordata
Leptomastix, Animalia, Arthropoda
Bothrocophias, Animalia, Chordata
Nematanthus, Plantae, Angiosperms
Arachnis, Plantae, Angiosperms
Hippuris, Plantae, Angiosperms
Pseudomyxus, Other, Other
Calvia, Animalia, Arthropoda
Leptochiton, Animalia, Mollusca
Chiruromys, Animalia, Chordata
Rhytidoponera, Animalia, Arthropoda
Vitrella, Other, Other
Anisomorpha, Animalia, Arthropoda
Buxus, Plantae, Angiosperms
Trachyspermum, Plantae, Angiosperms
Meriones, Animalia, Chordata
Onchidoris, Animalia, Mollusca
Kuetzingia, Other, Other
Notophthalmus, Animalia, Chordata
Atriplex, Plantae, Angiosperms
Dinoponera, Animalia, Arthropoda
Vampyrodes, Other, Other
Serpula, Animalia, Annelida
Horminum, Plantae, Angiosperms
Laephotis, Animalia, Chordata
Neocalanus, Animalia, Arthropoda
Iris, Plantae, Angiosperms
Stachytarpheta, Plantae, Angiosperms
Kalanchoe, Plantae, Angiosperms
Rudarius, Other, Other
Selene, Animalia, Chordata
Acanthopteroctetes, Other, Other
Desmodus, Animalia, Chordata
Chrysotoxum, Animalia, Arthropoda
Kinosternon, Animalia, Chordata
Blomia, Animalia, Arthropoda
Vampyressa, Animalia, Chordata
Lacunicambarus, Animalia, Chordata
Duranta, Plantae, Angiosperms
Pycnoscelus, Animalia, Arthropoda
Neoceratodus, Animalia, Chordata
Echinothrix, Animalia, Echinodermata
Spodoptera, Animalia, Arthropoda
Sphaeronycteris, Animalia, Chordata
Butia, Plantae, Angiosperms
Marenzelleria, Animalia, Annelida
Eleocharis, Plantae, Angiosperms
Procnias, Animalia, Chordata
Glyphidohaptor, Animalia, Arthropoda
Kluyveromyces, Other, Other
Myopus, Animalia, Chordata
Ficus, Plantae, Angiosperms
Hypseleotris, Animalia, Chordata
Earina, Plantae, Angiosperms
Pseudophoenix, Plantae, Angiosperms
Fourraea, Other, Other
Adenandra, Plantae, Angiosperms
Diuraphis, Animalia, Arthropoda
Petrolisthes, Animalia, Arthropoda
Todiramphus, Animalia, Chordata
Grillotia, Animalia, Chordata
Scutellonema, Animalia, Nematoda
Lophodytes, Animalia, Chordata
IchthyOthere, Animalia, Chordata
Limnanthes, Plantae, Angiosperms
Cartodere, Animalia, Arthropoda
Murinae, Animalia, Chordata
Myurella, Animalia, Chordata
Piprites, Animalia, Chordata
Hyposmocoma, Animalia, Arthropoda
Perodicticus, Animalia, Chordata
Himantolophus, Animalia, Chordata
Spondias, Plantae, Angiosperms
Ceratogyrus, Animalia, Arthropoda
Hyobanche, Plantae, Angiosperms
Sais, Other, Other
Sarcodiotheca, Other, Other
Gymnothorax, Animalia, Chordata
Rieppeleon, Animalia, Chordata
Melichthys, Animalia, Chordata
Cypraea, Animalia, Mollusca
Auriglobus, Other, Other
Lobocla, Animalia, Chordata
Herpetogramma, Animalia, Arthropoda
Ampelomyces, Other, Other
Bauera, Plantae, Angiosperms
Blumeria, Other, Other
Hsunycteris, Animalia, Chordata
Chrysosplenium, Plantae, Angiosperms
Lopidium, Other, Other
Phalaenopsis, Plantae, Angiosperms
Lophophanes, Animalia, Chordata
Pinellia, Plantae, Angiosperms
Arabidopsis, Plantae, Angiosperms
Zerene, Animalia, Arthropoda
Trimeresurus, Animalia, Chordata
Echinodorus, Plantae, Angiosperms
Pseudecheneis, Animalia, Chordata
Aureococcus, Other, Other
Scatophagus, Animalia, Chordata
Eueides, Animalia, Chordata
Hyalella, Animalia, Arthropoda
Heterophrys, Other, Other
Crotalaria, Plantae, Angiosperms
Cyathopharynx, Animalia, Chordata
Antithamnion, Other, Other
Spilocuscus, Animalia, Chordata
Achalinus, Animalia, Chordata
Streptopus, Plantae, Angiosperms
Pyrrhura, Animalia, Chordata
Amphibolurus, Animalia, Chordata
Leptobrachium, Animalia, Chordata
Sicyos, Plantae, Angiosperms
Brachycaudus, Animalia, Arthropoda
Calumma, Animalia, Chordata
Frullania, Plantae, Liverworts
Rhynchium, Animalia, Arthropoda
Scedosporium, Other, Other
Ptenochirus, Animalia, Chordata
Macrotarsomys, Animalia, Chordata
Cribroheros, Animalia, Chordata
Xanthogaleruca, Animalia, Arthropoda
Amara, Animalia, Arthropoda
Phytelephas, Plantae, Angiosperms
Cosmopterix, Animalia, Arthropoda
Emberizinae, Animalia, Chordata
Micraspis, Animalia, Arthropoda
Alphitonia, Plantae, Angiosperms
Graptemys, Animalia, Chordata
Kukulcania, Animalia, Arthropoda
Bivetiella, Other, Other
CeratOtherium, Animalia, Chordata
Eustephia, Other, Other
Glaucostola, Animalia, Arthropoda
Hierophis, Animalia, Chordata
Brachyponera, Animalia, Arthropoda
Coturnix, Animalia, Chordata
Aclytia, Animalia, Arthropoda
Trigonopsis, Other, Other
Scrippsiella, Other, Other
Spatula, Animalia, Chordata
Astrebla, Plantae, Angiosperms
Uranoscopus, Animalia, Chordata
Tanystylum, Other, Other
Urbanus, Animalia, Arthropoda
Amblyornis, Animalia, Chordata
Moesziomyces, Other, Other
Pyrularia, Plantae, Angiosperms
Meganyctiphanes, Animalia, Arthropoda
Mungotictis, Animalia, Chordata
Haplophryne, Animalia, Chordata
Mentha, Plantae, Angiosperms
Pongamia, Plantae, Angiosperms
Vormela, Animalia, Chordata
Tinantia, Plantae, Angiosperms
Toxolasma, Animalia, Mollusca
Nadata, Animalia, Arthropoda
Corallina, Other, Other
Necromys, Animalia, Chordata
Trimezia, Plantae, Angiosperms
Anticollix, Animalia, Arthropoda
Asio, Animalia, Chordata
Clonorchis, Animalia, Platyhelminthes
Thermomyces, Other, Other
Arianta, Animalia, Mollusca
Carukia, Animalia, Cnidaria
Varroa, Animalia, Arthropoda
Amynthas, Animalia, Annelida
Cynoponticus, Animalia, Chordata
Amomum, Plantae, Angiosperms
Cercis, Plantae, Angiosperms
Coluber, Animalia, Chordata
Lepidodinium, Other, Other
Brunsvigia, Plantae, Angiosperms
Stegobium, Animalia, Arthropoda
Sordaria, Other, Other
Curculio, Animalia, Arthropoda
Scuticaria, Animalia, Chordata
Peganum, Plantae, Angiosperms
Salvinia, Plantae, Ferns and allies
Tigriopus, Animalia, Arthropoda
Yponomeuta, Animalia, Arthropoda
Pachnoda, Animalia, Arthropoda
Tenthredo, Animalia, Arthropoda
Coreoperca, Animalia, Chordata
Pacifastacus, Animalia, Arthropoda
Dremomys, Animalia, Chordata
Numenius, Animalia, Chordata
Rhyacodrilus, Animalia, Annelida
Orthocarpus, Plantae, Angiosperms
Phaulothamnus, Plantae, Angiosperms
Deinopis, Animalia, Arthropoda
Boreophyllum, Other, Other
Laterallus, Animalia, Chordata
Alternanthera, Plantae, Angiosperms
Aegista, Animalia, Mollusca
Chalcides, Animalia, Chordata
Melittia, Animalia, Arthropoda
Cacatua, Animalia, Chordata
Muscicapa, Animalia, Chordata
Pyrenomonas, Other, Other
Microperoryctes, Animalia, Chordata
Archocentrus, Animalia, Chordata
Eunice, Animalia, Annelida
Gymnogeophagus, Animalia, Chordata
Protodinium, Other, Other
Herichthys, Animalia, Chordata
Calicophoron, Animalia, Platyhelminthes
Chromatopelma, Animalia, Arthropoda
Rhyticeros, Animalia, Chordata
Folsomia, Animalia, Arthropoda
Calumia, Animalia, Arthropoda
Geocenamus, Animalia, Nematoda
Dendronephthya, Animalia, Cnidaria
Amyda, Animalia, Chordata
Alloispermum, Plantae, Angiosperms
Bidens, Plantae, Angiosperms
Riccordia, Other, Other
Claviceps, Other, Other
Callospermophilus, Animalia, Chordata
Peltodoris, Animalia, Mollusca
Phapitreron, Animalia, Chordata
Pseudoroegneria, Plantae, Angiosperms
Tragelaphus, Animalia, Chordata
Ceraclea, Animalia, Arthropoda
Cyprinodon, Animalia, Chordata
Astragalus, Plantae, Angiosperms
Salanoia, Animalia, Chordata
Prionotes, Plantae, Angiosperms
Rhodomela, Other, Other
Centrochelys, Animalia, Chordata
Popa, Other, Other
Phyllopertha, Animalia, Arthropoda
Knipowitschia, Animalia, Chordata
Fagopyrum, Plantae, Angiosperms
Carya, Plantae, Angiosperms
Toxopneustes, Animalia, Echinodermata
Acilius, Animalia, Arthropoda
Perovskia, Plantae, Angiosperms
Campaea, Animalia, Arthropoda
Phyllomedusa, Animalia, Chordata
Nasturtium, Plantae, Angiosperms
Zamia, Plantae, Cycads
Passerella, Animalia, Chordata
Teuthraustes, Animalia, Arthropoda
Combretum, Plantae, Angiosperms
Merops, Animalia, Chordata
Lophostrix, Animalia, Chordata
Euplexaura, Animalia, Cnidaria
Pseudoboletia, Animalia, Arthropoda
Scomberomorus, Animalia, Chordata
Asaphidion, Animalia, Arthropoda
Pollicipes, Animalia, Arthropoda
Gasteracantha, Animalia, Arthropoda
Spironucleus, Other, Other
Syngamus, Animalia, Nematoda
Anableps, Animalia, Chordata
Sauromalus, Animalia, Chordata
Tyrannidae, Animalia, Chordata
Megatherium, Animalia, Chordata
Leucochloridium, Animalia, Platyhelminthes
Phyllopteryx, Animalia, Chordata
Arundo, Plantae, Angiosperms
Lipotes, Animalia, Chordata
Polemonium, Plantae, Angiosperms
Macrodon, Animalia, Chordata
Anthericum, Plantae, Angiosperms
Pappogeomys, Animalia, Chordata
Spinulum, Animalia, Arthropoda
Callorhinus, Animalia, Chordata
Elliptio, Animalia, Mollusca
Parachaenichthys, Animalia, Chordata
Brosme, Animalia, Chordata
Sebastiscus, Animalia, Chordata
Rhaphithamnus, Plantae, Angiosperms
Melanocetus, Animalia, Chordata
Arum, Plantae, Angiosperms
Citrullus, Plantae, Angiosperms
Mecardonia, Plantae, Angiosperms
Budorcas, Animalia, Chordata
Triatoma, Animalia, Arthropoda
Athroisma, Animalia, Chordata
Coreana, Animalia, Chordata
Ratufa, Animalia, Chordata
Hymenoptera, Animalia, Arthropoda
Podargus, Animalia, Chordata
Monobia, Animalia, Arthropoda
Dipsosaurus, Animalia, Chordata
Kopsiopsis, Other, Other
Ruditapes, Animalia, Mollusca
Colomys, Animalia, Chordata
Amborella, Plantae, Angiosperms
Alyssum, Plantae, Angiosperms
Calliphona, Animalia, Arthropoda
Hippocampus, Animalia, Chordata
Lophonetta, Animalia, Chordata
Artibeus, Animalia, Chordata
Coccomyxa, Other, Other
Hypsugo, Animalia, Chordata
Acanthagenys, Animalia, Chordata
Vernonanthura, Plantae, Angiosperms
Durusdinium, Other, Other
Aenictus, Animalia, Arthropoda
Xanthopastis, Animalia, Arthropoda
Nuphar, Plantae, Angiosperms
Tetradesmus, Other, Other
Rhinella, Animalia, Chordata
Stenomelania, Animalia, Mollusca
Deroptyus, Animalia, Chordata
Calotes, Animalia, Chordata
Cepaea, Animalia, Mollusca
Cryptotaenia, Plantae, Angiosperms
Creolimax, Animalia, Platyhelminthes
Pachyphasma, Animalia, Arthropoda
Gorilla, Animalia, Chordata
Mesomys, Animalia, Chordata
Halozetes, Animalia, Arthropoda
Metator, Animalia, Arthropoda
Blanus, Animalia, Chordata
Deporaus, Animalia, Arthropoda
Fukomys, Animalia, Chordata
Kingia, Plantae, Angiosperms
Spea, Animalia, Chordata
Schmidtea, Animalia, Platyhelminthes
Arctogadus, Animalia, Chordata
Typhula, Other, Other
Heterotis, Animalia, Chordata
Pronolagus, Animalia, Chordata
Adenophorus, Plantae, Ferns and allies
Asarum, Plantae, Angiosperms
Sarcinofilum, Other, Other
Anolis, Animalia, Chordata
Gardenia, Plantae, Angiosperms
Thelazia, Animalia, Nematoda
Dione, Animalia, Chordata
Calathus, Animalia, Arthropoda
Botryococcus, Other, Other
Probosciger, Animalia, Chordata
Punctularia, Fungi, Basidiomycota
Cynophalla, Plantae, Angiosperms
Ethmidium, Other, Other
Nannochloris, Other, Other
Atheresthes, Animalia, Chordata
Doryfera, Animalia, Chordata
Rothia, Animalia, Chordata
Potamogeton, Plantae, Angiosperms
Sauropsida, Animalia, Chordata
Prosopium, Animalia, Chordata
Crenimugil, Animalia, Chordata
Liquidambar, Plantae, Angiosperms
Irena, Animalia, Chordata
Falcipennis, Animalia, Chordata
Civettictis, Animalia, Chordata
Comephorus, Animalia, Chordata
Pogonoperca, Animalia, Chordata
Swartzia, Plantae, Angiosperms
Brachytarsomys, Animalia, Chordata
Bothus, Animalia, Chordata
Ischadium, Other, Other
Platalea, Animalia, Chordata
Tanacetum, Plantae, Angiosperms
Bryophyta, Plantae, Bryophytes
Colocasia, Plantae, Angiosperms
Geodia, Animalia, Porifera
Cyanea, Animalia, Cnidaria
Protaetia, Animalia, Arthropoda
Ptychodera, Animalia, Arthropoda
Geophagus, Animalia, Chordata
Calomera, Animalia, Arthropoda
Dyssodia, Plantae, Angiosperms
Anthocharis, Animalia, Arthropoda
Raillardella, Plantae, Angiosperms
Omphalodes, Plantae, Angiosperms
Campephaga, Animalia, Chordata
Galaxea, Animalia, Cnidaria
Acrocinus, Animalia, Arthropoda
Scaevola, Plantae, Angiosperms
Hylomanes, Animalia, Chordata
Oscaecilia, Animalia, Chordata
Lytechinus, Animalia, Echinodermata
Dryocampa, Animalia, Arthropoda
Banisteriopsis, Plantae, Angiosperms
Dasykaluta, Animalia, Arthropoda
Paramphistomum, Animalia, Platyhelminthes
Crinia, Animalia, Chordata
Oxyrhopus, Animalia, Chordata
Paramongaia, Animalia, Arthropoda
Aplidium, Animalia, Chordata
Ichthyophis, Animalia, Chordata
Hyattella, Other, Other
Plagiochila, Plantae, Bryophytes
Perisphaeria, Other, Other
Triteleia, Plantae, Angiosperms
Nomonyx, Animalia, Chordata
Arctocephalus, Animalia, Chordata
Protula, Animalia, Chordata
Hapalemur, Animalia, Chordata
Homostichanthus, Other, Other
Typhlosaurus, Animalia, Chordata
Carcharhinus, Animalia, Chordata
Trichonephila, Animalia, Arthropoda
Sigmodon, Animalia, Chordata
Elymus, Plantae, Angiosperms
Juglans, Plantae, Angiosperms
Opsariichthys, Animalia, Chordata
Dillenia, Plantae, Angiosperms
Phoenix, Plantae, Angiosperms
Crassadoma, Animalia, Chordata
Platystomos, Animalia, Chordata
Odontesthes, Animalia, Chordata
Scorpiops, Animalia, Arthropoda
Ctenosaura, Animalia, Chordata
Porthidium, Animalia, Chordata
Castilleja, Plantae, Angiosperms
Giuris, Animalia, Chordata
Thauria, Animalia, Chordata
Podosesia, Animalia, Arthropoda
Ascidiacea, Animalia, Chordata
Catasetum, Plantae, Angiosperms
Parechinus, Animalia, Echinodermata
Agelaia, Animalia, Arthropoda
Forficula, Animalia, Arthropoda
Agelaioides, Animalia, Chordata
Macrophomina, Other, Other
Xestia, Animalia, Arthropoda
Speothos, Animalia, Chordata
Phlogius, Animalia, Arthropoda
Enochrus, Animalia, Arthropoda
Cephalophula, Animalia, Arthropoda
Ozyptila, Animalia, Arthropoda
Chamaepsila, Animalia, Arthropoda
Aeoloplides, Animalia, Arthropoda
Pleurodema, Animalia, Chordata
Tripedalia, Animalia, Cnidaria
Sechellophryne, Animalia, Chordata
Hemitriakis, Animalia, Chordata
Histrionicus, Animalia, Chordata
Obovaria, Animalia, Mollusca
Trapa, Plantae, Angiosperms
Helictochloa, Plantae, Angiosperms
Sanicula, Plantae, Angiosperms
Onychium, Plantae, Angiosperms
Eclectus, Animalia, Chordata
Ptilota, Plantae, Rhodophyta
Clupeonella, Animalia, Chordata
Ptilopsis, Animalia, Chordata
Pica, Animalia, Chordata
Lestica, Animalia, Arthropoda
Durio, Plantae, Angiosperms
Oidiodendron, Fungi, Ascomycota
Crepis, Plantae, Angiosperms
Sarcophyton, Animalia, Cnidaria
Pavo, Animalia, Chordata
Tecomaria, Plantae, Angiosperms
Caquetaia, Animalia, Chordata
Bugula, Animalia, Bryozoa
Archidendron, Plantae, Angiosperms
Grammatophyllum, Plantae, Angiosperms
Nyctimene, Animalia, Chordata
Drosophila, Animalia, Arthropoda
Mydaus, Animalia, Chordata
Edmundsella, Animalia, Chordata
Falco, Animalia, Chordata
Camaena, Animalia, Mollusca
Scobinichthys, Animalia, Chordata
Trypanoplasma, Other, Other
Idionycteris, Animalia, Chordata
Leptotes, Animalia, Chordata
Hexaprotodon, Animalia, Chordata
Clupisoma, Animalia, Chordata
Placobdella, Animalia, Annelida
Calosoma, Animalia, Arthropoda
Bupleurum, Plantae, Angiosperms
Physella, Animalia, Mollusca
Taphozous, Animalia, Chordata
Urocissa, Animalia, Chordata
Cetoscarus, Animalia, Chordata
Heteroconger, Animalia, Chordata
Chaetodontoplus, Animalia, Chordata
Cicadella, Animalia, Arthropoda
Sylvilagus, Animalia, Chordata
Mollusca, Animalia, Mollusca
Brachyuromys, Animalia, Chordata
Prionailurus, Animalia, Chordata
Cyrtonaias, Animalia, Mollusca
Leucophaeus, Animalia, Chordata
Mucuna, Plantae, Angiosperms
Gnaphosa, Animalia, Arthropoda
Rothschildia, Animalia, Arthropoda
Takifugu, Animalia, Chordata
Kickxia, Plantae, Angiosperms
Phrynus, Animalia, Arthropoda
Phallus, Fungi, Basidiomycota
Syzygium, Plantae, Angiosperms
Cololabis, Animalia, Chordata
Sophonia, Animalia, Arthropoda
Pomatomus, Animalia, Chordata
Cnidoscolus, Plantae, Angiosperms
Novumbra, Animalia, Arthropoda
Psalteriomonas, Other, Other
Bowiea, Plantae, Angiosperms
Maranta, Plantae, Angiosperms
Absidia, Fungi, Zygomycota
Heuchera, Plantae, Angiosperms
Dimerostemma, Plantae, Angiosperms
Descurainia, Plantae, Angiosperms
Eupetaurus, Animalia, Chordata
Geotrypetes, Animalia, Chordata
Zacco, Animalia, Chordata
Cucujiformia, Animalia, Arthropoda
Solanum, Plantae, Angiosperms
Phascolarctos, Animalia, Chordata
Pseudoryx, Animalia, Chordata
Umbelopsis, Fungi, Ascomycota
Gobius, Animalia, Chordata
Psiloscops, Animalia, Chordata
Rheum, Plantae, Angiosperms
Petricia, Other, Other
Scutellaria, Plantae, Angiosperms
Vir, Other, Other
Rhaebo, Animalia, Chordata
Cottus, Animalia, Chordata
Cassiope, Plantae, Angiosperms
